From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
Q9H6R0	Q9H6R0	DHX33_HUMAN	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	DHX33 DDX33	positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of type I interferon production [GO:0032481]; translational initiation [GO:0006413]
Q7L3B6	Q7L3B6	CD37L_HUMAN	Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37)	CDC37L1 CDC37B HARC	protein folding [GO:0006457]; protein stabilization [GO:0050821]
Q9H0U9	Q9H0U9	TSYL1_HUMAN	Testis-specific Y-encoded-like protein 1 (TSPY-like protein 1)	TSPYL1 TSPYL	nucleosome assembly [GO:0006334]
Q08AG7	Q08AG7	MZT1_HUMAN	Mitotic-spindle organizing protein 1 (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1)	MZT1 C13orf37 MOZART1	gamma-tubulin complex localization [GO:0033566]; microtubule nucleation by interphase microtubule organizing center [GO:0051415]; mitotic spindle assembly [GO:0090307]
P00156	P00156	CYB_HUMAN	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
Q9NR09	Q9NR09	BIRC6_HUMAN	Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON)	BIRC6 KIAA1289	apoptotic process [GO:0006915]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; labyrinthine layer development [GO:0060711]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; positive regulation of cell population proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; protein ubiquitination [GO:0016567]; regulation of cell population proliferation [GO:0042127]; regulation of cellular protein metabolic process [GO:0032268]; regulation of cytokinesis [GO:0032465]; spongiotrophoblast layer development [GO:0060712]
Q71SY5	Q71SY5	MED25_HUMAN	Mediator of RNA polymerase II transcription subunit 25 (Activator interaction domain-containing protein 1) (Activator-recruited cofactor 92 kDa component) (ARC92) (Mediator complex subunit 25) (p78)	MED25 ACID1 ARC92 PTOV2 TCBAP0758	negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chromatin binding [GO:0035563]; positive regulation of mediator complex assembly [GO:2001178]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; RNA polymerase II preinitiation complex assembly [GO:0051123]
O60318	O60318	GANP_HUMAN	Germinal-center associated nuclear protein (GANP) (EC 2.3.1.48) (80 kDa MCM3-associated protein) (MCM3 acetylating protein) (MCM3AP) (EC 2.3.1.-) (MCM3 acetyltransferase)	MCM3AP GANP KIAA0572 MAP80	mRNA export from nucleus [GO:0006406]; nucleosome organization [GO:0034728]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein transport [GO:0015031]; somatic hypermutation of immunoglobulin genes [GO:0016446]
Q9P2X3	Q9P2X3	IMPCT_HUMAN	Protein IMPACT (Imprinted and ancient gene protein homolog)	IMPACT	cellular response to acidic pH [GO:0071468]; cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to leucine starvation [GO:1990253]; cellular response to UV-C [GO:0071494]; GCN2-mediated signaling [GO:0140469]; negative regulation of cell death [GO:0060548]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to stress [GO:0097201]; neuron projection extension [GO:1990138]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of translational initiation in response to starvation [GO:0071264]; regulation of translational initiation [GO:0006446]
O00400	O00400	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	SLC33A1 ACATN AT1	transmembrane transport [GO:0055085]
Q92989	Q92989	CLP1_HUMAN	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	CLP1 HEAB	cerebellar cortex development [GO:0021695]; global gene silencing by mRNA cleavage [GO:0098795]; mRNA 3'-end processing [GO:0031124]; mRNA polyadenylation [GO:0006378]; phosphorylation [GO:0016310]; RISC complex assembly [GO:0070922]; RNA processing [GO:0006396]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]
Q92610	Q92610	ZN592_HUMAN	Zinc finger protein 592	ZNF592 KIAA0211	negative regulation of insulin receptor signaling pathway [GO:0046627]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]
Q969T7	Q969T7	5NT3B_HUMAN	7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)	NT5C3B NT5C3L	exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; nucleotide metabolic process [GO:0009117]
Q96GZ6	Q96GZ6	S41A3_HUMAN	Solute carrier family 41 member 3	SLC41A3	mitochondrial magnesium ion transmembrane transport [GO:0045016]
Q6AI08	Q6AI08	HEAT6_HUMAN	HEAT repeat-containing protein 6 (Amplified in breast cancer protein 1)	HEATR6 ABC1	
Q9NX74	Q9NX74	DUS2L_HUMAN	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like (EC 1.3.1.91) (Dihydrouridine synthase 2) (Up-regulated in lung cancer protein 8) (URLC8) (tRNA-dihydrouridine synthase 2-like) (hDUS2)	DUS2 DUS2L	negative regulation of cell death [GO:0060548]; tRNA dihydrouridine synthesis [GO:0002943]
O94822	O94822	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294 HSPC087	protein autoubiquitination [GO:0051865]; rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]
Q8N5I2	Q8N5I2	ARRD1_HUMAN	Arrestin domain-containing protein 1 (Alpha-arrestin 1)	ARRDC1	extracellular transport [GO:0006858]; extracellular vesicle biogenesis [GO:0140112]; negative regulation of Notch signaling pathway [GO:0045746]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q6ISB3	Q6ISB3	GRHL2_HUMAN	Grainyhead-like protein 2 homolog (Brother of mammalian grainyhead) (Transcription factor CP2-like 3)	GRHL2 BOM TFCP2L3	anterior neural tube closure [GO:0061713]; bicellular tight junction assembly [GO:0070830]; brain development [GO:0007420]; camera-type eye development [GO:0043010]; cardiac ventricle morphogenesis [GO:0003208]; cell adhesion [GO:0007155]; cell junction assembly [GO:0034329]; cell population proliferation [GO:0008283]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic digit morphogenesis [GO:0042733]; epidermis development [GO:0008544]; epithelial cell morphogenesis [GO:0003382]; epithelial cell morphogenesis involved in placental branching [GO:0060672]; epithelium migration [GO:0090132]; face development [GO:0060324]; lung epithelial cell differentiation [GO:0060487]; lung lobe morphogenesis [GO:0060463]; multicellular organism growth [GO:0035264]; negative regulation of keratinocyte differentiation [GO:0045617]; neural tube closure [GO:0001843]; neural tube development [GO:0021915]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA methylation [GO:0044030]; regulation of transcription by RNA polymerase II [GO:0006357]
Q5HYI7	Q5HYI7	MTX3_HUMAN	Metaxin-3	MTX3	inner mitochondrial membrane organization [GO:0007007]; mitochondrion organization [GO:0007005]; protein transport [GO:0015031]
Q7L775	Q7L775	EPMIP_HUMAN	EPM2A-interacting protein 1 (Laforin-interacting protein)	EPM2AIP1 KIAA0766 My007	glycogen biosynthetic process [GO:0005978]; positive regulation of glycogen (starch) synthase activity [GO:2000467]; positive regulation of glycogen biosynthetic process [GO:0045725]; response to insulin [GO:0032868]
Q32P41	Q32P41	TRM5_HUMAN	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	TRMT5 KIAA1393 TRM5	mitochondrial tRNA methylation [GO:0070901]; tRNA methylation [GO:0030488]; tRNA N1-guanine methylation [GO:0002939]
Q9H1H9	Q9H1H9	KI13A_HUMAN	Kinesin-like protein KIF13A (Kinesin-like protein RBKIN)	KIF13A RBKIN	cell cycle [GO:0007049]; cell division [GO:0051301]; endosome to lysosome transport [GO:0008333]; Golgi to plasma membrane protein transport [GO:0043001]; intracellular protein transport [GO:0006886]; melanosome organization [GO:0032438]; microtubule-based movement [GO:0007018]; plus-end-directed vesicle transport along microtubule [GO:0072383]; regulation of cytokinesis [GO:0032465]; vesicle cargo loading [GO:0035459]
Q15058	Q15058	KIF14_HUMAN	Kinesin-like protein KIF14	KIF14 KIAA0042	activation of protein kinase activity [GO:0032147]; cell division [GO:0051301]; cell proliferation in forebrain [GO:0021846]; cerebellar cortex development [GO:0021695]; cerebellar granular layer structural organization [GO:0021685]; cerebellar Purkinje cell layer structural organization [GO:0021693]; cerebral cortex development [GO:0021987]; establishment of protein localization [GO:0045184]; hippocampus development [GO:0021766]; microtubule-based movement [GO:0007018]; mitotic metaphase plate congression [GO:0007080]; negative regulation of apoptotic process [GO:0043066]; negative regulation of integrin activation [GO:0033624]; negative regulation of neuron apoptotic process [GO:0043524]; olfactory bulb development [GO:0021772]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokinesis [GO:0032467]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell adhesion [GO:0030155]; regulation of cell growth [GO:0001558]; regulation of cell maturation [GO:1903429]; regulation of cell migration [GO:0030334]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of myelination [GO:0031641]; regulation of neuron apoptotic process [GO:0043523]; regulation of Rap protein signal transduction [GO:0032487]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; substrate adhesion-dependent cell spreading [GO:0034446]
Q9HBH1	Q9HBH1	DEFM_HUMAN	Peptide deformylase, mitochondrial (EC 3.5.1.88) (Polypeptide deformylase)	PDF PDF1A	co-translational protein modification [GO:0043686]; N-terminal protein amino acid modification [GO:0031365]; peptidyl-methionine modification [GO:0018206]; positive regulation of cell population proliferation [GO:0008284]; translation [GO:0006412]
Q9UJF2	Q9UJF2	NGAP_HUMAN	Ras GTPase-activating protein nGAP (RAS protein activator-like 2)	RASAL2 NGAP	adipose tissue development [GO:0060612]; gene expression [GO:0010467]; multicellular organism growth [GO:0035264]; regulation of GTPase activity [GO:0043087]; regulation of protein activation cascade [GO:2000257]; response to dietary excess [GO:0002021]; response to glucose [GO:0009749]; signal transduction [GO:0007165]
Q8N8R3	Q8N8R3	MCATL_HUMAN	Mitochondrial basic amino acids transporter (Carnitine/acylcarnitine translocase-like) (CACT-like) (Mitochondrial carnitine/acylcarnitine carrier protein CACL) (Mitochondrial ornithine transporter 3) (Solute carrier family 25 member 29)	SLC25A29 C14orf69 ORNT3	acyl carnitine transport [GO:0006844]; amino acid transport [GO:0006865]; L-arginine transmembrane transport [GO:1903826]; L-histidine transmembrane transport [GO:0089709]; L-lysine transmembrane transport [GO:1903401]; mitochondrial L-ornithine transmembrane transport [GO:1990575]; ornithine transport [GO:0015822]
O43826	O43826	G6PT1_HUMAN	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	SLC37A4 G6PT G6PT1 PRO0685 TRG19	carbohydrate transport [GO:0008643]; gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glucose-6-phosphate transport [GO:0015760]; phosphate ion transmembrane transport [GO:0035435]
Q9UGR2	Q9UGR2	Z3H7B_HUMAN	Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN)	ZC3H7B KIAA1031	miRNA processing [GO:0035196]; post-transcriptional regulation of gene expression [GO:0010608]
Q8NDA8	Q8NDA8	MROH1_HUMAN	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)	MROH1 HEATR7A KIAA1833	
Q96CP7	Q96CP7	TLCD1_HUMAN	TLC domain-containing protein 1 (Calfacilitin)	TLCD1	lipid homeostasis [GO:0055088]; membrane assembly [GO:0071709]; phospholipid homeostasis [GO:0055091]; plasma membrane organization [GO:0007009]; regulation of membrane lipid distribution [GO:0097035]
Q9NWS9	Q9NWS9	ZN446_HUMAN	Zinc finger protein 446 (Zinc finger protein with KRAB and SCAN domains 20)	ZNF446 ZKSCAN20	regulation of transcription by RNA polymerase II [GO:0006357]
Q9Y4C2	Q9Y4C2	TCAF1_HUMAN	TRPM8 channel-associated factor 1 (TRP channel-associated factor 1)	TCAF1 FAM115A KIAA0738	negative regulation of cell migration [GO:0030336]; positive regulation of anion channel activity [GO:1901529]; positive regulation of protein targeting to membrane [GO:0090314]; regulation of anion channel activity [GO:0010359]
Q9UNS1	Q9UNS1	TIM_HUMAN	Protein timeless homolog (hTIM)	TIMELESS TIM TIM1 TIMELESS1	branching morphogenesis of an epithelial tube [GO:0048754]; cell cycle phase transition [GO:0044770]; cell division [GO:0051301]; cellular response to bleomycin [GO:1904976]; cellular response to cisplatin [GO:0072719]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydroxyurea [GO:0072711]; circadian rhythm [GO:0007623]; detection of abiotic stimulus [GO:0009582]; DNA repair [GO:0006281]; DNA replication checkpoint signaling [GO:0000076]; lung development [GO:0030324]; morphogenesis of an epithelium [GO:0002009]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of circadian rhythm [GO:0042752]; replication fork arrest [GO:0043111]; replication fork protection [GO:0048478]
